val_loss,val_acc,epoch,step,test_loss,test_acc
0.32974961400032043,0.9066000580787659,0,859,,
0.27136901021003723,0.9238000512123108,1,1719,,
0.24406889081001282,0.9300000667572021,2,2579,,
0.22281688451766968,0.9358000159263611,3,3439,,
0.20598269999027252,0.941800057888031,4,4299,,
0.19174222648143768,0.9446000456809998,5,5159,,
0.17966356873512268,0.9470000267028809,6,6019,,
0.1696745753288269,0.9506000280380249,7,6879,,
0.16153159737586975,0.9524000287055969,8,7739,,
0.15429814159870148,0.954200029373169,9,8599,,
0.14830368757247925,0.956000030040741,10,9459,,
0.14330217242240906,0.9580000638961792,11,10319,,
0.13898836076259613,0.9588000178337097,12,11179,,
0.13532088696956635,0.9606000185012817,13,12039,,
0.13234636187553406,0.9612000584602356,14,12899,,
0.12956126034259796,0.9620000720024109,15,13759,,
0.1272915154695511,0.963200032711029,16,14619,,
0.12552392482757568,0.963200032711029,17,15479,,
0.12415339797735214,0.9640000462532043,18,16339,,
0.122967928647995,0.9650000333786011,19,17199,,
0.12219401448965073,0.9660000205039978,20,18059,,
0.121549092233181,0.9670000672340393,21,18919,,
0.12107270956039429,0.9678000211715698,22,19779,,
0.12058708071708679,0.9686000347137451,23,20639,,
0.12032056599855423,0.9684000611305237,24,21499,,
0.12015370279550552,0.9684000611305237,25,22359,,
0.12010645121335983,0.9694000482559204,26,23219,,
0.12007809430360794,0.9688000679016113,27,24079,,
0.12008138746023178,0.9684000611305237,28,24939,,
0.12045461684465408,0.9682000279426575,29,25799,,
0.12030389904975891,0.9682000279426575,30,26659,,
0.12021367996931076,0.9678000211715698,31,27519,,
0.12052581459283829,0.9678000211715698,32,28379,,
0.12079606205224991,0.9670000672340393,33,29239,,
0.12101875245571136,0.9672000408172607,34,30099,,
0.1212662011384964,0.9666000604629517,35,30959,,
0.12174572050571442,0.9660000205039978,36,31819,,
0.12224302440881729,0.9668000340461731,37,32679,,
0.12244366109371185,0.9670000672340393,38,33539,,
0.12304170429706573,0.9664000272750854,39,34399,,
,,40,34400,0.1059330478310585,0.9687000513076782
